BuildingAddress,Country,State,ZIP,City,Neighborhood,Status2010,Status2011,Status2012,Status2013,Latitude,Longitude
135 POWELL ST,USA,CA,94102,San Francisco,Downtown/Civic Center,NA,DidNotComply,Complied,DidNotComply,37.78606368,-122.4081936
3132 CLEMENT ST,USA,CA,94121,San Francisco,Seacliff,NA,NA,NA,Complied,37.78205312,-122.4929523
2090 Evan St.,USA,CA,94124,San Francisco,Bayview,Complied,Complied,Complied,Complied,37.74796229,-122.3957927
836 BRANNAN ST,USA,CA,94103,San Francisco,South of Market,NA,Complied,Complied,DidNotComply,37.77242878,-122.4040595
40 LAFAYETTE ST,USA,CA,94103,San Francisco,South of Market,Complied,Complied,Complied,Complied,37.77311899,-122.4174355
1 14TH ST,USA,CA,94103,San Francisco,Mission,NA,NA,Complied,Complied,37.76843172,-122.4137067
1 ARKANSAS ST,USA,CA,94107,San Francisco,Potrero Hill,NA,DidNotComply,DidNotComply,DidNotComply,37.76610066,-122.3985874
1 DORMAN AVE,USA,CA,94124,San Francisco,Bayview,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.7398759,-122.4014281
1 GRANT AVE,USA,CA,94108,San Francisco,Fidi,NA,DidNotComply,DidNotComply,DidNotComply,37.78700592,-122.4051457
1 JONES ST,USA,CA,94102,San Francisco,Downtown/Civic Center,NA,Exempt - Vacant,Exempt - Vacant,DidNotComply,37.78137991,-122.4124281
1 MCCOPPIN ST,USA,CA,94103,San Francisco,South of Market,Complied,Complied,Complied,DidNotComply,37.77131907,-122.4206975
1 STOCKTON ST,USA,CA,94102,San Francisco,Downtown/Civic Center,NA,NA,DidNotComply,DidNotComply,37.78590114,-122.4065046
540 MARKET ST,USA,CA,94104,San Francisco,Fidi,NA,Complied,Complied,Complied,37.79013461,-122.4008052
10 GEARY ST,USA,CA,94108,San Francisco,Fidi,NA,NA,Complied,DidNotComply,37.78805718,-122.4037568
10 HALLAM ST,USA,CA,94103,San Francisco,South of Market,NA,NA,DidNotComply,DidNotComply,37.77569065,-122.4086297
100 BROADWAY,USA,CA,94111,San Francisco,North Beach,NA,Exempt - <25K SQFT,Complied,Complied,37.7989185,-122.4002415
100 Buchanan St,USA,CA,94102,San Francisco,Western Addition,NA,DidNotComply,DidNotComply,DidNotComply,37.77114383,-122.426437
100 CALIFORNIA ST,USA,CA,94111,San Francisco,Fidi,Complied,Complied,Complied,DidNotComply,37.79395313,-122.398058
100 1ST ST,USA,CA,94105,San Francisco,Fidi,Complied,Complied,Complied,Complied,37.7894284,-122.39764
100 GEARY ST,USA,CA,94108,San Francisco,Fidi,NA,NA,DidNotComply,DidNotComply,37.78796262,-122.4052358
100 HARRISON ST,USA,CA,94105,San Francisco,South of Market,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.78898994,-122.3901144
120 MONTGOMERY ST,USA,CA,94104,San Francisco,Fidi,Complied,Complied,DidNotComply,DidNotComply,37.79039399,-122.4021297
100 NORTH POINT ST,USA,CA,94133,San Francisco,North Beach,DidNotComply,DidNotComply,DidNotComply,DidNotComply,37.80730021,-122.4095495
100 PINE ST,USA,CA,94111,San Francisco,Fidi,Complied,Complied,Complied,DidNotComply,37.79253542,-122.3988907
100 Post St,USA,CA,94108,San Francisco,Fidi,NA,Complied,Complied,Complied,37.78904993,-122.4040382
100 POTRERO AVE,USA,CA,94103,San Francisco,Mission,Complied,Complied,Complied,Complied,37.76808084,-122.4082851
100 POWELL ST,USA,CA,94102,San Francisco,Downtown/Civic Center,NA,DidNotComply,DidNotComply,DidNotComply,37.78568661,-122.4076592
100 SPEAR ST,USA,CA,94105,San Francisco,Fidi,Complied,Complied,Complied,DidNotComply,37.79215271,-122.3940115
1 MISSION ST,USA,CA,94105,San Francisco,Fidi,NA,Complied,Complied,Complied,37.79332535,-122.3927564
1000 25TH ST,USA,CA,94107,San Francisco,Potrero Hill,NA,DidNotComply,DidNotComply,DidNotComply,37.7531192,-122.3891186
1000 SANSOME ST,USA,CA,94111,San Francisco,North Beach,NA,DidNotComply,DidNotComply,DidNotComply,37.79968988,-122.4021138
1001 16TH ST,USA,CA,94107,San Francisco,Potrero Hill,NA,NA,DidNotComply,DidNotComply,37.76602877,-122.3971651
1001 17TH ST,USA,CA,94107,San Francisco,Potrero Hill,NA,NA,DidNotComply,DidNotComply,37.76503268,-122.3941272
1006 16TH ST,USA,CA,94107,San Francisco,South of Market,NA,NA,DidNotComply,DidNotComply,37.76669359,-122.3971756
1009 STOCKTON ST,USA,CA,94108,San Francisco,Chinatown,NA,NA,DidNotComply,DidNotComply,37.79504991,-122.4083931
